"","participant","organism","condition","acceleration","trial.num","raw.points","rectangles.cleared","deaths","log.block","block","switch.type","varied","experiment","switch.faster","switch.slower"
"49","A11FRLH5KWRLBV","human","LHLHM",0.2,17,1125,45,0,1.09861228866811,3,-0.4,1,1,0,-0.4
"50","A11FRLH5KWRLBV","human","LHLHM",0.2,18,975,51,3,1.09861228866811,3,-0.4,1,1,0,-0.4
"51","A11FRLH5KWRLBV","human","LHLHM",0.2,19,1275,51,0,1.09861228866811,3,-0.4,1,1,0,-0.4
"52","A11FRLH5KWRLBV","human","LHLHM",0.2,2,950,38,0,0,1,0,1,1,0,0
"53","A11FRLH5KWRLBV","human","LHLHM",0.2,20,1025,53,3,1.09861228866811,3,-0.4,1,1,0,-0.4
"54","A11FRLH5KWRLBV","human","LHLHM",0.2,3,875,39,1,0,1,0,1,1,0,0
"55","A11FRLH5KWRLBV","human","LHLHM",0.2,4,900,44,2,0,1,0,1,1,0,0
"56","A11FRLH5KWRLBV","human","LHLHM",0.2,5,1200,48,0,0,1,0,1,1,0,0
"57","A11FRLH5KWRLBV","human","LHLHM",0.2,6,1200,52,1,0,1,0,1,1,0,0
"58","A11FRLH5KWRLBV","human","LHLHM",0.2,7,975,47,2,0,1,0,1,1,0,0
"59","A11FRLH5KWRLBV","human","LHLHM",0.2,8,1100,48,1,0,1,0,1,1,0,0
"60","A11FRLH5KWRLBV","human","LHLHM",0.6,9,225,41,8,0.693147180559945,2,0.4,1,1,0.4,0
"61","A11FRLH5KWRLBV","human","LHLHM",0.2,21,1125,49,1,1.09861228866811,3,-0.4,1,1,0,-0.4
"62","A11FRLH5KWRLBV","human","LHLHM",0.6,30,925,45,2,1.38629436111989,4,0.4,1,1,0.4,0
"63","A11FRLH5KWRLBV","human","LHLHM",0.6,31,700,40,3,1.38629436111989,4,0.4,1,1,0.4,0
"64","A11FRLH5KWRLBV","human","LHLHM",0.6,32,975,39,0,1.38629436111989,4,0.4,1,1,0.4,0
"65","A11FRLH5KWRLBV","human","LHLHM",0.4,33,1200,48,0,1.6094379124341,5,-0.2,1,1,0,-0.2
"66","A11FRLH5KWRLBV","human","LHLHM",0.4,34,1200,48,0,1.6094379124341,5,-0.2,1,1,0,-0.2
"67","A11FRLH5KWRLBV","human","LHLHM",0.4,35,1225,49,0,1.6094379124341,5,-0.2,1,1,0,-0.2
"68","A11FRLH5KWRLBV","human","LHLHM",0.4,36,1200,52,1,1.6094379124341,5,-0.2,1,1,0,-0.2
